Date,Time,Heart_Rate
30 Dec,08:30,58
30 Dec,08:20,56
30 Dec,08:10,56
30 Dec,08:00,57
30 Dec,07:50,60
30 Dec,07:40,58
30 Dec,07:30,62
30 Dec,07:20,59
30 Dec,07:10,58
30 Dec,07:00,70
30 Dec,06:50,55
30 Dec,06:40,58
30 Dec,06:30,59
30 Dec,06:20,53
30 Dec,06:10,55
30 Dec,05:50,52
30 Dec,05:40,54
30 Dec,05:30,55
30 Dec,05:20,56
30 Dec,05:10,60
30 Dec,05:01,61
30 Dec,04:50,65
30 Dec,04:41,73
30 Dec,04:30,66
30 Dec,04:20,70
30 Dec,04:10,74
30 Dec,04:00,77
30 Dec,03:51,75
30 Dec,03:20,79
30 Dec,03:00,72
30 Dec,02:50,71
30 Dec,02:40,77
30 Dec,02:30,75
30 Dec,02:20,76
30 Dec,02:00,74
30 Dec,01:50,80
30 Dec,01:40,77
30 Dec,01:30,72
30 Dec,01:20,87
30 Dec,01:10,79
30 Dec,00:50,90
30 Dec,00:41,93
30 Dec,00:20,80
30 Dec,00:10,72
30 Dec,00:00,79
29 Dec,23:50,85
29 Dec,23:41,81
29 Dec,23:20,79
29 Dec,23:10,75
29 Dec,22:00,75
29 Dec,21:50,81
29 Dec,20:40,89
29 Dec,20:30,93
29 Dec,20:00,107
29 Dec,18:30,71
29 Dec,18:20,76
29 Dec,18:14,77
29 Dec,13:20,64
29 Dec,13:10,64
29 Dec,13:00,62
29 Dec,12:50,65
29 Dec,12:40,66
29 Dec,12:30,67
29 Dec,12:20,60
29 Dec,12:10,63
29 Dec,12:00,70
29 Dec,11:50,63
29 Dec,11:40,74
29 Dec,11:30,75
29 Dec,11:20,73
29 Dec,11:10,76
29 Dec,10:40,97
29 Dec,10:25,64
29 Dec,10:20,59
29 Dec,10:10,58
29 Dec,10:00,65
29 Dec,09:50,55
29 Dec,09:40,51
29 Dec,09:30,54
29 Dec,09:20,52
29 Dec,09:10,51
29 Dec,09:00,54
29 Dec,08:50,55
29 Dec,08:40,60
29 Dec,08:30,57
29 Dec,08:20,59
29 Dec,08:10,53
29 Dec,08:00,59
29 Dec,07:50,58
29 Dec,07:40,58
29 Dec,07:30,53
29 Dec,07:20,54
29 Dec,07:10,56
29 Dec,07:00,58
29 Dec,06:50,59
29 Dec,06:40,63
29 Dec,06:30,56
29 Dec,06:20,58
29 Dec,06:10,69
29 Dec,06:00,71
29 Dec,05:50,59
29 Dec,05:40,58
29 Dec,05:30,53
29 Dec,05:21,56
29 Dec,05:10,56
29 Dec,05:00,58
29 Dec,04:51,56
29 Dec,04:40,60
29 Dec,04:30,58
29 Dec,04:20,67
29 Dec,04:10,63
29 Dec,04:00,61
29 Dec,03:50,55
29 Dec,03:40,59
29 Dec,03:30,58
29 Dec,03:10,63
29 Dec,03:00,67
29 Dec,02:50,71
29 Dec,02:40,66
29 Dec,02:30,66
29 Dec,02:20,69
29 Dec,02:10,72
29 Dec,02:00,71
29 Dec,01:50,74
29 Dec,01:40,78
29 Dec,01:31,74
29 Dec,01:20,79
29 Dec,01:10,84
29 Dec,01:00,77
29 Dec,00:50,83
29 Dec,00:40,95
29 Dec,00:10,79
29 Dec,00:01,84
28 Dec,23:50,75
28 Dec,23:30,73
28 Dec,23:20,71
28 Dec,23:10,74
28 Dec,22:50,67
28 Dec,22:40,77
28 Dec,22:30,73
28 Dec,21:40,81
28 Dec,20:41,73
28 Dec,19:40,73
28 Dec,18:40,75
28 Dec,18:21,112
28 Dec,18:10,82
28 Dec,18:00,66
28 Dec,17:50,80
28 Dec,17:40,73
28 Dec,17:30,77
28 Dec,17:21,84
28 Dec,16:50,77
28 Dec,16:40,97
28 Dec,16:31,83
28 Dec,16:20,86
28 Dec,15:40,84
28 Dec,15:20,82
28 Dec,15:00,90
28 Dec,14:50,93
28 Dec,14:30,86
28 Dec,14:12,165
28 Dec,04:30,81
28 Dec,04:21,78
28 Dec,03:50,85
28 Dec,03:40,91
28 Dec,03:00,89
28 Dec,02:50,74
28 Dec,02:40,72
28 Dec,02:30,82
28 Dec,02:20,81
28 Dec,02:00,77
28 Dec,01:50,82
28 Dec,01:40,81
28 Dec,01:31,82
28 Dec,00:50,78
28 Dec,00:40,83
28 Dec,00:30,96
28 Dec,00:20,86
28 Dec,00:10,90
27 Dec,23:40,81
27 Dec,23:30,86
27 Dec,23:20,79
27 Dec,23:10,81
27 Dec,22:50,80
27 Dec,22:10,79
27 Dec,21:50,87
27 Dec,21:10,91
27 Dec,21:00,91
27 Dec,20:50,95
27 Dec,20:40,95
27 Dec,20:30,104
27 Dec,20:20,103
27 Dec,20:10,95
27 Dec,20:00,100
27 Dec,19:10,99
27 Dec,19:00,92
